Date,Time,SWR,RSSI,A1,A2,GPS Date,GPS Time,Long,Lat,Course,GPS Speed,GPS Alt,Baro Alt,Vertical Speed,Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2013-12-16,21:43:37.730,0,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.94, 0.00,22,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-2,-1017,-2,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:38.660,0,87,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,22,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,14,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:39.680,1,82,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,22,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,-1,-23,12,71,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:40.680,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.75, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:41.700,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-2,-1017,-2,-24,14,68,499,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:42.720,1,77,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:43.740,1,77,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-22,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:44.760,1,76,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.82, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,12,67,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:45.760,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.75, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-23,13,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:46.780,1,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.88,-1.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:47.800,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.50, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-2,-1017,-2,-23,13,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:48.820,1,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,-1,-21,12,71,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:49.840,1,78,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-22,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:50.840,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
